mask,model,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,auc_mean,auc_std
full,logreg,0.825,0.048591265790377515,0.8688888888888888,0.045758356182164436,0.7971428571428572,0.05990165788006246,0.8929100529100529,0.052157183303042996
full,svm,0.8166666666666668,0.042491829279939886,0.8244444444444445,0.15176329847967884,0.8095238095238095,0.08192690730516788,0.914973544973545,0.02220684779322102
full,rf,0.8166666666666667,0.0565194165260439,0.7177777777777777,0.11146609959097291,0.878095238095238,0.027864264453957708,0.8802116402116402,0.012370546886823876
cv,logreg,0.825,0.055277079839256664,0.8488888888888889,0.08595146491472762,0.8104761904761905,0.050967954896227276,0.8899470899470898,0.08203617965424041
cv,svm,0.8083333333333332,0.06236095644623235,0.7822222222222223,0.1220402686021865,0.8247619047619047,0.052024762985705394,0.8543915343915345,0.08281219428568348
cv,rf,0.8166666666666667,0.0565194165260439,0.8044444444444444,0.10832051206181281,0.8247619047619047,0.052024762985705394,0.9167724867724868,0.06349329804796221
