image_id,label,shape_area,shape_perimeter,shape_equiv_diameter,shape_eccentricity,shape_solidity,shape_extent,shape_circularity,shape_aspect_ratio,shape_major_axis,shape_minor_axis,intensity_mean,intensity_std,intensity_min,intensity_max,intensity_median,intensity_skew,intensity_kurt,intensity_p10,intensity_p90,intensity_entropy,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_ASM,glcm_energy,glcm_correlation,lbp_bin0,lbp_bin1,lbp_bin2,lbp_bin3,lbp_bin4,lbp_bin5,lbp_bin6,lbp_bin7,lbp_bin8,lbp_bin9
94,0,7969.0,664.0792565073284,100.72956831037504,0.9377718496214973,0.7022382798731054,0.45848915482423336,0.22707737313566073,2.8797529541257845,192.05538353711918,66.69161785630394,49.35725938009788,24.621323021193422,0.0,255.0,47.0,0.6702742740285131,2.307030172481868,19.0,81.0,6.625129452499621,6.169526388336232,1.1530255558834865,0.7049053373160267,0.27519187257868716,0.5244311991322217,0.7550727853124855,0.03639101518383737,0.06060986321997741,0.0745388379972393,0.15384615384615385,0.2138285857698582,0.16902999121596185,0.08896975781151964,0.06600577236792571,0.05496298155351989,0.08181704103400678
95,0,4767.0,487.13813101037414,77.90720704628373,0.8397792589781248,0.7091639393037786,0.5167479674796748,0.2524356948154708,1.8418649044173976,121.74683901141512,66.09976590542888,88.05454164044473,14.533251582036852,44.0,135.0,89.0,-0.13300612124498215,-0.5327187992690048,68.0,107.0,5.921568526767205,10.567023690273816,1.1689862801127098,0.769320824535519,0.20686709817904314,0.454367909728357,0.8214837152661205,0.01825047199496539,0.0446821900566394,0.05118523180197189,0.1529263687853996,0.2605412208936438,0.1948814768198028,0.10027270820222361,0.05999580448919656,0.05286343612334802,0.0644010908328089
96,1,15593.0,1202.9858941188763,140.90288932827244,0.8454057671522598,0.7592637678336661,0.6541785534485652,0.1353999403455095,1.8722223223806704,217.86538113416202,116.36725966237275,54.97915731417944,19.61619848824092,5.0,224.0,54.0,1.1037758439102372,3.6421762965894207,32.0,79.0,6.230938387554199,6.255839214877376,1.1918632052813412,0.679746883255084,0.11416874944676218,0.33747151005140685,0.7642574097457335,0.03450266145065093,0.06817161546847944,0.05932149041236452,0.13865195921246715,0.20823446418264607,0.15102930802283077,0.08997627140383506,0.076765215160649,0.07772718527544412,0.09561982941063298
97,0,8071.0,844.8315651863257,101.37216760806439,0.9115856067725899,0.5996730812095995,0.4227425099518123,0.1421009389256501,2.4324372117117075,195.1092281717269,80.21141398113558,96.19873621608227,21.330723858748303,10.0,150.0,100.0,-1.2619483070577064,1.9254063857417947,69.0,118.0,6.2883482711045335,10.002979657492057,1.0604359059041106,0.7911706029009343,0.3072362016981818,0.5541345911325096,0.8606934022711258,0.01821335646140503,0.03840911906826911,0.05290546400693842,0.15487548011398836,0.28955519762111265,0.19923181761863462,0.08734977078428943,0.05464006938421509,0.04497583942510222,0.0598438855160451
98,0,30141.0,1650.2022356160526,195.89975272537365,0.8735222333303811,0.7420784400620429,0.59402837997635,0.13908912618580802,2.0542981744782236,307.12891322166286,149.50551825305072,34.665206861086226,23.134151492494862,0.0,254.0,34.0,1.1770601089335184,5.7927615592437505,4.0,61.0,6.366431430734137,4.6795227415857426,1.0606121866676812,0.6865424202255564,0.19573722905715255,0.4420300352760764,0.7281542517463029,0.03473673733452772,0.0566338210411068,0.06977207126505425,0.1584552602766995,0.2173783218871305,0.15483892372515842,0.0842374174712186,0.05855811021532132,0.08224677349789324,0.08314256328588965
99,1,42786.0,1888.6986642785844,233.4027145537058,0.8901529655036848,0.818808129521185,0.7152816089071669,0.15072531650232218,2.194610008911282,379.54658831637033,172.94489078934737,18.498854765577526,17.213706780193082,0.0,224.0,15.0,0.7508944261153714,0.6832037744854285,0.0,43.0,5.632809240100267,1.6902044149676736,0.6204865609471224,0.7725352168128864,0.25720100719404476,0.5066481121069386,0.7803408445350977,0.019842939279203477,0.04321507035011452,0.05085775721030244,0.14364511756181927,0.21130743701210677,0.14060674052260086,0.06541859486748001,0.0370214556163231,0.23287991399055766,0.05520497358949189
100,1,27055.0,1326.3300858899106,185.60036606324306,0.8425542128471177,0.7719413375941566,0.7063230994152047,0.19326542233694094,1.8566256253235454,274.3221019350241,147.7530516617852,71.11883200887083,19.583282914127313,4.0,255.0,70.0,1.0576697629125307,5.024666960883605,47.0,95.0,6.251588052455785,6.316050062563342,0.8928826083345885,0.7770461530132404,0.09534251523820712,0.30809500883297136,0.8327214586597325,0.012751801885048973,0.040399186841618924,0.03803363518758086,0.13945666235446313,0.27503234152652006,0.2176307521715025,0.09676584734799483,0.05973017926446128,0.06168915172796156,0.0585104416928479
101,0,5298.0,449.84776310850236,82.1317423899365,0.8205380810162473,0.716914749661705,0.5718294657312466,0.32899605280391825,1.7495000630824507,128.16415338485587,73.25758717552885,74.55454888637222,20.619989858421096,0.0,165.0,74.0,0.2844711837690356,-0.08793397433026628,50.0,103.0,6.396710375577592,8.372991698780009,1.1732845326559467,0.718231781508017,0.16896089509998552,0.4107581796585568,0.8192699677086333,0.032465081162702907,0.06360890902227255,0.06191015477538694,0.14949037372593432,0.2202718006795017,0.161759154397886,0.09550773876934693,0.06662891657229143,0.0604001510003775,0.08795771989429974
102,0,7055.0,379.6639969244288,94.77713325537216,0.9239791224104051,0.9500403985995152,0.7032496012759171,0.615046641237289,2.61476933476587,154.2968476355003,59.009735804981155,34.094968107725016,20.30548543318345,6.0,96.0,27.0,0.7465607195286447,-0.808640056190872,16.0,68.0,5.8136205516110255,3.415543547360638,0.7390208930265152,0.7844803269641544,0.1317410536448002,0.362261913408195,0.7700152583379991,0.010772501771793055,0.031467044649184976,0.027923458540042523,0.09454287739192062,0.21658398299078668,0.18299078667611623,0.073706591070163,0.05230333097094259,0.26364280652019845,0.04606661941885188
103,0,12798.0,904.2152954766494,127.65155578182592,0.8667675049921756,0.736448383013005,0.5604799859858106,0.19670177163684816,2.0051635589826473,212.90562738361027,106.1786837436999,42.04664791373652,27.78019841941708,0.0,255.0,42.0,0.5331284907669412,1.7954988752515915,5.0,78.0,6.598752222130531,4.849037234513375,0.8810203699037287,0.7555016459170193,0.2346832999512951,0.48416803235836725,0.8059581016934302,0.017424597593373965,0.04313173933427098,0.04836693233317706,0.1443194249101422,0.3127832473824035,0.18690420378184092,0.0807938740428192,0.042115955618065325,0.06485388341928426,0.0593061415846226
