source,experiment,model,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,auc_mean,auc_std
part2_baseline,refined,logreg,0.825,0.04082482904638631,0.8266666666666668,0.1119082516623482,0.8247619047619047,0.06696531745236933,0.9196296296296296,0.0495189478914319
part2_baseline,refined,svm,0.8583333333333334,0.05651941652604392,0.8244444444444445,0.11469767022723504,0.8771428571428572,0.08083464828161122,0.9238624338624337,0.049522339778308354
part2_baseline,refined,rf,0.875,0.06972166887783963,0.8022222222222222,0.1645645207250988,0.9180952380952381,0.052024762985705394,0.9031746031746032,0.05432808767360829
part2_baseline,busat,logreg,0.8416666666666666,0.05527707983925665,0.8711111111111111,0.07875575620741931,0.8247619047619047,0.052024762985705394,0.9121693121693122,0.04123998377282446
part2_baseline,busat,svm,0.8916666666666666,0.033333333333333305,0.8911111111111112,0.0994801301582195,0.8914285714285715,0.05441088326508838,0.937142857142857,0.048347630254749474
part2_baseline,busat,rf,0.8833333333333334,0.04082482904638631,0.8022222222222222,0.08560604570781433,0.9314285714285715,0.061838792688563536,0.939973544973545,0.026162991296918674
part3_embedding,openclip,logreg,0.8333333333333333,0.03726779962499651,0.8066666666666666,0.10125142888795127,0.8523809523809524,0.06417097343970671,0.9163492063492065,0.03338636916267744
part3_embedding,openclip,svm,0.8333333333333334,0.06972166887783961,0.7622222222222221,0.12562928022313394,0.8790476190476191,0.04889713391616546,0.8828042328042327,0.05781255615495614
part3_embedding,openclip,rf,0.8083333333333332,0.062360956446232345,0.5666666666666667,0.1507184440694504,0.959047619047619,0.053841120095628824,0.8673544973544972,0.07087767176524129
part3_embedding,biomedclip,logreg,0.8166666666666668,0.07728015412913085,0.76,0.14834061571803234,0.8523809523809524,0.04837495275885825,0.8603703703703702,0.05596883318478101
part3_embedding,biomedclip,svm,0.8583333333333334,0.033333333333333305,0.7822222222222223,0.07083278866892989,0.9057142857142859,0.03192962783664801,0.9352380952380953,0.027180734115293457
part3_embedding,biomedclip,rf,0.85,0.05651941652604392,0.7177777777777777,0.08652409926191905,0.9323809523809524,0.042206704392686346,0.9277777777777778,0.04826197371633161
